Shape of X [N, C, H, W]: torch.Size([1024, 4])
Shape of y: torch.Size([1024, 4]) torch.float32
Using mps device
dSMSPredictorNN(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (linear_relu_stack): Sequential(
    (0): Linear(in_features=4, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=4, bias=True)
  )
)
Epoch 1
-------------------------------
loss: 0.019287  [2417664/5060099]
loss: 0.019246  [2427904/5060099]
loss: 0.018860  [2438144/5060099]
loss: 0.018598  [2448384/5060099]
loss: 0.019236  [2458624/5060099]
loss: 0.018923  [2468864/5060099]
loss: 0.018719  [2479104/5060099]
loss: 0.018936  [2489344/5060099]
loss: 0.018564  [2499584/5060099]
loss: 0.018402  [2509824/5060099]
loss: 0.019283  [2520064/5060099]
loss: 0.018646  [2530304/5060099]
loss: 0.018923  [2540544/5060099]
loss: 0.018646  [2550784/5060099]
loss: 0.017765  [2561024/5060099]
loss: 0.018150  [2571264/5060099]
loss: 0.019090  [2581504/5060099]
loss: 0.017447  [2591744/5060099]
loss: 0.018918  [2601984/5060099]
loss: 0.019574  [2612224/5060099]
loss: 0.017812  [2622464/5060099]
loss: 0.018252  [2632704/5060099]
loss: 0.018120  [2642944/5060099]
loss: 0.017405  [2653184/5060099]
loss: 0.018777  [2663424/5060099]
loss: 0.017631  [2673664/5060099]
loss: 0.017915  [2683904/5060099]
loss: 0.017406  [2694144/5060099]
loss: 0.017287  [2704384/5060099]
loss: 0.016855  [2714624/5060099]
loss: 0.017855  [2724864/5060099]
loss: 0.016907  [2735104/5060099]
loss: 0.016646  [2745344/5060099]
loss: 0.017652  [2755584/5060099]
loss: 0.016993  [2765824/5060099]
loss: 0.017407  [2776064/5060099]
loss: 0.016713  [2786304/5060099]
loss: 0.016945  [2796544/5060099]
loss: 0.015866  [2806784/5060099]
loss: 0.016840  [2817024/5060099]
loss: 0.016815  [2827264/5060099]
loss: 0.017061  [2837504/5060099]
loss: 0.017142  [2847744/5060099]
